# file...... outputFiles/overhead_line:power_in_B.csv
# date...... Mon Apr  4 09:07:19 2016
# user...... mlunacek
# host...... (null)
# group..... class=overhead_line
# property.. power_in_B
# limit..... 0
# interval.. 60
# timestamp,line_6,line_0,line_8,line_7,line_3,line_2,line_5,line_4,line_10
2013-07-01 04:38:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+2.75676e-10-8.62832e-09j,-0+0j,+0+0j
2013-07-01 04:39:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+1.15358e-09-3.08806e-09j,-0+0j,+0+0j
2013-07-01 04:40:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+2.04762e-09-3.33467e-09j,-0+0j,+0+0j
2013-07-01 04:41:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+2.74309e-09-7.67496e-09j,-0+0j,+0+0j
2013-07-01 04:42:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+4.1173e-09-1.19632e-09j,-0+0j,+0+0j
2013-07-01 04:43:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-1.68575e-09+2.41744e-09j,-0+0j,+0+0j
2013-07-01 04:44:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-2.34262e-09-9.55283e-10j,-0+0j,+0+0j
2013-07-01 04:45:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+2.42376e-09-6.19928e-10j,-0+0j,+0+0j
2013-07-01 04:46:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+1.51975e-11+1.04065e-09j,-0+0j,+0+0j
2013-07-01 04:47:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-1.38527e-09+2.64091e-09j,-0+0j,+0+0j
2013-07-01 04:48:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-2.33492e-09+1.87236e-09j,-0+0j,+0+0j
2013-07-01 04:49:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+2.52271e-10+1.25344e-10j,-0+0j,+0+0j
2013-07-01 04:50:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+6.38618e-09+5.33779e-10j,-0+0j,+0+0j
2013-07-01 04:51:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-6.78869e-09-7.7086e-10j,-0+0j,+0+0j
2013-07-01 04:52:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-4.65916e-10-1.37586e-09j,-0+0j,+0+0j
2013-07-01 04:53:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-2.0752e-11+2.29501e-09j,-0+0j,+0+0j
2013-07-01 04:54:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-1.49487e-09+3.68348e-09j,-0+0j,+0+0j
2013-07-01 04:55:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-6.22267e-09-2.64747e-09j,-0+0j,+0+0j
2013-07-01 04:56:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-8.53141e-10-1.55889e-09j,-0+0j,+0+0j
2013-07-01 04:57:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-1.42628e-10+3.70251e-09j,-0+0j,+0+0j
2013-07-01 04:58:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-6.92583e-09-1.13482e-09j,-0+0j,+0+0j
2013-07-01 04:59:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+6.23037e-09+5.47512e-09j,-0+0j,+0+0j
2013-07-01 05:00:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-2.58728e-09+2.73362e-09j,-0+0j,+0+0j
