# file...... outputFiles/transformer:power_in_C.csv
# date...... Mon Apr  4 09:07:19 2016
# user...... mlunacek
# host...... (null)
# group..... class=transformer
# property.. power_in_C
# limit..... 0
# interval.. 60
# timestamp,transformer_0,transformer_1,transformer_2,transformer_3,transformer_4,transformer_5,transformer_6,transformer_8,transformer_10,transformer_11,transformer_12,transformer_13,transformer_14,transformer_15,transformer_16,transformer_18,transformer_20
2013-07-01 17:43:00 UTC,+113789+98977.1j,+0+0j,+13201.6+3929.74j,+0+0j,+0+0j,+10973.3+3255.03j,+0+0j,+0+0j,+0+0j,+0+0j,+16800.3+6269.52j,+0+0j,+0+0j,+15641+4692.91j,+0+0j,+10734.8+3155.24j,+15616.2+4681.65j
2013-07-01 17:44:00 UTC,+113788+98974.1j,+0+0j,+13204.2+3930.87j,+0+0j,+0+0j,+8466.2+2458.6j,+0+0j,+0+0j,+0+0j,+0+0j,+16799.6+6268.03j,+0+0j,+0+0j,+15644+4694.3j,+0+0j,+8269.72+2382.63j,+15619.2+4683j
2013-07-01 17:45:00 UTC,+113787+98973.3j,+0+0j,+15671.6+4706.86j,+0+0j,+0+0j,+8466.54+2458.74j,+0+0j,+0+0j,+0+0j,+0+0j,+16799.4+6267.6j,+0+0j,+0+0j,+15644.2+4694.39j,+0+0j,+8269.86+2382.68j,+15619.4+4683.1j
2013-07-01 17:46:00 UTC,+113788+98975j,+0+0j,+15669.5+4705.93j,+0+0j,+0+0j,+8465.71+2458.41j,+0+0j,+0+0j,+0+0j,+0+0j,+16799.8+6268.44j,+0+0j,+0+0j,+15642.2+4693.45j,+0+0j,+10735.6+3155.59j,+15617.3+4682.16j
2013-07-01 17:47:00 UTC,+113784+98977.4j,+0+0j,+15657.4+4701.52j,+0+0j,+0+0j,+13474.1+4050.61j,+0+0j,+0+0j,+0+0j,+0+0j,+16794+6268.02j,+0+0j,+0+0j,+18091.1+5463.07j,+0+0j,+13192.4+3926.52j,+15605.2+4677.76j
2013-07-01 17:48:00 UTC,+113782+98973.9j,+0+0j,+10730.4+3153.98j,+0+0j,+0+0j,+13476.5+4051.66j,+0+0j,+0+0j,+0+0j,+0+0j,+16793.1+6266.22j,+0+0j,+0+0j,+18095.8+5465.25j,+0+0j,+13196+3928.09j,+15609.3+4679.63j
2013-07-01 17:49:00 UTC,+113783+98974.8j,+0+0j,+10730+3153.82j,+0+0j,+0+0j,+13476+4051.45j,+0+0j,+0+0j,+0+0j,+0+0j,+16793.3+6266.66j,+0+0j,+0+0j,+18095.2+5464.97j,+0+0j,+13195.5+3927.89j,+15608.8+4679.39j
2013-07-01 17:50:00 UTC,+113783+98975.7j,+0+0j,+10729+3153.38j,+0+0j,+0+0j,+13475.4+4051.18j,+0+0j,+0+0j,+0+0j,+0+0j,+16793.5+6267.11j,+0+0j,+0+0j,+18093.6+5464.21j,+0+0j,+13194.3+3927.34j,+18065.2+5450.93j
2013-07-01 17:51:00 UTC,+113783+98976.2j,+0+0j,+10728.6+3153.2j,+0+0j,+0+0j,+13475+4051j,+0+0j,+0+0j,+0+0j,+0+0j,+16793.6+6267.38j,+0+0j,+0+0j,+18092.9+5463.92j,+0+0j,+13193.8+3927.13j,+18064.5+5450.63j
2013-07-01 17:52:00 UTC,+113769+98968.9j,+0+0j,+10720.7+3151.04j,+0+0j,+0+0j,+13465.3+4048.42j,+0+0j,+0+0j,+0+0j,+0+0j,+16779+6260.36j,+0+0j,+0+0j,+18077.8+5459.7j,+0+0j,+13183.5+3924.28j,+18049.5+5446.44j
